Name,Slug,Severity,Summary,Rule JSON,LC Rule Name / Rule Message,LC Issue Description,LC Possible Fix (Suggested Fix),Current Category,Snippets,Tags/0,Tags/1,Tags/2,Tags/3
,,,,,,,,,,,,,
OpenAPI V3 - Info Contact,openapi-v3-info-contact,error,"This is a Spectral governance rule to enforce that OpenAPI info object has a contact. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all APIs have contact information."",""message"":""API must have a contact information available."",""given"":""$.info"",""severity"":""error"",""recommended"":true,""type"":""style"",""formats"":[""oas3""],""then"":{""field"":""contact"",""function"":""truthy""}}",API must have contact information available,"Your API schema's info object doesn't contain a contact object, which contains contact information including a name and email address.","Although contact information isn't required, including it allows your users to contact you. Add a contact object to your API schema's info object.",API Information,,Info,Contact,Communication,
OpenAPI V3 - Info Contact Email,openapi-v3-info-contact-email,error,"This is a Spectral governance rule to enforce that OpenAPI info object has a contact email. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all APIs have contact email."",""message"":""API must have a contact email available."",""given"":""$.info.contact"",""severity"":""error"",""then"":{""field"":""email"",""function"":""truthy""}}",API must have a contact email available,Your API schema's contact object doesn't contain an email address for the contact person or organization.,"Although contact information isn't required, including it allows your users to communicate with you. Add an email address to your API schema's contact object.",API Information,,Info,Contact,Communication,
OpenAPI V3 - Info Contact Name,openapi-v3-info-contact-name,error,"This is a Spectral governance rule to enforce that OpenAPI info object has a contact name. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all APIs have contact name."",""message"":""API must have a contact name available."",""given"":""$.info.contact"",""severity"":""error"",""then"":{""field"":""name"",""function"":""truthy""}}",API must have a contact name available,Your API schema's contact object doesn't contain a name for the contact person or organization.,"Although contact information isn't required, including it allows your users to communicate with you. Add a name to your API schema's contact object.",API Information,,Info,Contact,Communication,
OpenAPI V3 - Info Contact Url,openapi-v3-info-contact-url,error,"This is a Spectral governance rule to enforce that OpenAPI info object has a contact url. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all APIs have contact URL."",""message"":""API must have a contact URL available."",""given"":""$.info.contact"",""severity"":""error"",""then"":{""field"":""url"",""function"":""truthy""}}",API must have a contact URL available,Your API schema's contact object doesn't contain a URL for the contact person or organization.,"Although contact information isn't required, including it allows your users to communicate with you. Add a URL to your API schema's contact object.",API Information,,Info,Contact,Communication,
OpenAPI V3 Info Description,openapi-v3-info-description,error,"This is a Spectral governance rule to enforce that an OpenAPI has a description included as part of the information object, making sure there is as much detail about what an API does available for consumers. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all OpenAPIs have a information description."",""message"":""The info object should have a description."",""given"":""$.info"",""severity"":""error"",""recommended"":true,""type"":""style"",""formats"":[""oas3""],""then"":{""field"":""description"",""function"":""truthy""}}",The info object should have a description,Your API schema's info object doesn't contain a description.,"Although a description isn't required, including it allows you to provide your users with information about what the API does. Add a description to your API schema's info object.",API Information,,Info,Documentation,,
OpenAPI V3 - Info License,openapi-v3-info-license,error,"This is a Spectral governance rule to enforce that OpenAPI info object has a license. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all OpenAPIs have a information object license."",""message"":""The info object should have a license."",""given"":""$.info"",""severity"":""error"",""recommended"":true,""type"":""style"",""formats"":[""oas3""],""then"":{""field"":""license"",""function"":""truthy""}}",The info object should have a license,"Your API schema's info object doesn't contain a license object, which specifies information about the schema's license.","Although a license object isn't required, including one provides your users with important information. Add a license object to your API schema's info object.",API Information,,Info,Licensing,Legal,
OpenAPI V3 - Info License Url,openapi-v3-info-license-url,error,"This is a Spectral governance rule to enforce that OpenAPI info object has a license url. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all OpenAPIs have a information object license url."",""message"":""The info object should have a license url."",""given"":""$.info.license"",""severity"":""error"",""then"":{""field"":""url"",""function"":""truthy""}}",The info object should have a license URL,Your API schema's license object doesn't contain a URL to the license used for the API.,"Although license information isn't required, including it provides your users with important information. Add a URL to your API schema's license object.",API Information,,Info,License,Legal,
OpenAPI V3 - Info Terms Of Service,openapi-v3-info-terms-of-service,error,"This is a Spectral governance rule to enforce that OpenAPI info object has a terms of service. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all OpenAPIs have a information object terms of service."",""message"":""The info object should have a terms of service."",""given"":""$.info"",""severity"":""error"",""recommended"":true,""type"":""style"",""formats"":[""oas3""],""then"":{""field"":""termsOfService"",""function"":""truthy""}}",The info object should have terms of service,Your API schema's info object doesn't contain a URL to the Terms of Service for the API.,"Although a link to the Terms of Service isn't required, including it provides your users with important information. Add a URL to the API's Terms of Service to your API schema's info object.",API Information,,Terms of Service,Legal,,
OpenAPI V3 - Info X API Id,openapi-v3-info-x-api-id,error,"This is a Spectral governance rule to enforce that the OpenAPI info has an API ID extension. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all OpenAPIs have a information object API ID extension."",""message"":""The info object should have an API ID extension."",""given"":""$.info"",""severity"":""error"",""recommended"":true,""type"":""style"",""then"":{""field"":""x-api-id"",""function"":""truthy""}}",The info object should have an API ID extension,"Your API schema's info object doesn't contain an API ID extension (x-api-id), which is a custom header used to pass an API key.","Although an API ID extension isn't required, including it provides your users with important information. Add an API ID extension to your API schema's info object.",API Information,,Unique ID,Extensions,,
