slug,learningCenterTitle,learningCenterIssueDescription,learningCenterFixDescription,category
openapi-v3-info-contact,API must have contact information available,"Your API schema's info object doesn't contain a contact object, which contains contact information including a name and email address.","Although contact information isn't required, including it allows your users to contact you. Add a contact object to your API schema's info object.",API Information
openapi-v3-info-contact-email,API must have a contact email available,Your API schema's contact object doesn't contain an email address for the contact person or organization.,"Although contact information isn't required, including it allows your users to communicate with you. Add an email address to your API schema's contact object.",API Information
openapi-v3-info-contact-name,API must have a contact name available,Your API schema's contact object doesn't contain a name for the contact person or organization.,"Although contact information isn't required, including it allows your users to communicate with you. Add a name to your API schema's contact object.",API Information
openapi-v3-info-contact-url,API must have a contact URL available,Your API schema's contact object doesn't contain a URL for the contact person or organization.,"Although contact information isn't required, including it allows your users to communicate with you. Add a URL to your API schema's contact object.",API Information
openapi-v3-info-description,The info object should have a description,Your API schema's info object doesn't contain a description.,"Although a description isn't required, including it allows you to provide your users with information about what the API does. Add a description to your API schema's info object.",API Information
openapi-v3-info-license,The info object should have a license,"Your API schema's info object doesn't contain a license object, which specifies information about the schema's license.","Although a license object isn't required, including one provides your users with important information. Add a license object to your API schema's info object.",API Information
openapi-v3-info-license-url,The info object should have a license URL,Your API schema's license object doesn't contain a URL to the license used for the API.,"Although license information isn't required, including it provides your users with important information. Add a URL to your API schema's license object.",API Information
openapi-v3-info-terms-of-service,The info object should have terms of service,Your API schema's info object doesn't contain a URL to the Terms of Service for the API.,"Although a link to the Terms of Service isn't required, including it provides your users with important information. Add a URL to the API's Terms of Service to your API schema's info object.",API Information
openapi-v3-info-x-api-id,The info object should have an API ID extension,"Your API schema's info object doesn't contain an API ID extension (x-api-id), which is a custom header used to pass an API key.","Although an API ID extension isn't required, including it provides your users with important information. Add an API ID extension to your API schema's info object.",API Information
openapi-v3-info-x-audience,The info object should have an audience extension,"Your API schema's info object doesn't contain an audience extension (x-audience), which is a custom header used to describe an API's target audience.","Although an audience extension isn't required, including it provides your users with important information about the API. Add an audience extension to your API schema's info object.",API Information
openapi-v3-no-empty-paths,There should be no empty paths,Your API schema contains one or more empty path item objects in the paths object. <!-- TODO: confirm that this is correct - might be the paths object instead? -->,"Although you can leave a path item object empty due to access-control list (ACL) constraints, this doesn't provide your users with a good experience. Add details for any empty path item objects in your API schema.",API Information
openapi-v3-no-trailing-slash-on-paths,There should be no trailing slashes on paths,One or more path item objects in your API schema's paths object have a trailing slash at the end of the path.,"Some tools treat a path that ends with a trailing slash (/path/) differently from way that they treat paths without a trailing slash (/path). To avoid any ambiguity, remove any trailing slashes from paths in your API schema's paths object.",API Information
openapi-v3-tags-object,There should be a central tags object,Your API schema doesn't contain a root-level tags object.,"The tags object lists all the tags used in the schema's operation objects, providing users with important context. Add a tags object to your API schema.",API Information
openapi-v3-tags-description,All tags should have a description,One or more tags in your API schema's tags object don't have an accompanying description.,Tag descriptions enable you to provide your users with important context. Add a description for every tag in the tags object.,API Information
